              roches	               roche	                 ROS	       NOM	                    	         f	         p	         1	                    épique;science	                              rocs;pierres;rochers	minerai;mine;montagne;éboulement;terre;volcaniques;matériaux;granites	                  science;géographie;épique
          prédateur	          prédateur	            pRedat9R	       ADJ	                    	         m	         s	         3	                    science;épique	                                          chasseur	 chasse;faim;affamée;proie;instinct;survie;course	         animal;science;politique;psychologie
          prédateur	          prédateur	            pRedat9R	       NOM	                    	         m	         s	         3	                                 épique	                                             tueur	             chasse;tuer;mort;nourrir;viande;proie	                                  animal;politique
              astuce	              astuce	               astys	       NOM	                    	         f	         s	         2	                                 comique	                                       ruse;malice	habileté;finesse;ingénieux;ingénieuse;artifice;habile	                       commerce;chasse;psychologie
        clairvoyance	        clairvoyance	          klERvwaj@s	       NOM	                    	         f	         s	         3	                      lyrique;dramatique	                               sagacité;intuition	sagesse;sapience;sage;mesure;intelligence;subtile;subtilité	           philosophie;religion;aventure;politique
            sapience	            sapience	              sapj@s	       NOM	                    	         f	         s	         2	                            science	                                           sagesse	pensée;sage;instruit;éducation;réflexions;érudition;écriture;paroles	                             politique;philosophie
            faculté	            faculté	             fakylte	       NOM	                    	         f	         s	         3	                            science	                                     capacité;don	talents;aptitudes;ressources;percevoir;intelligentes;intelligents	                                       psychologie
         abstraction	         abstraction	         apstRaksj§	       NOM	                    	         f	         s	         3	                                  neutre	                                     concept;idée	conceptualiser;pensée;entité;réfléchie;notion;étude	                           psychologie;philosophie
               idée	               idée	                 ide	       NOM	                    	         f	         s	         2	                            science	                            pensée;conception;vue	théorie;explication;réflexion;théorisée;invention;rêve;rêveurs;inspirée;inspiration;représentée;incarnée	    philosophie;psychologie;politique;guerre;folie
      compréhension	      compréhension	         k§pRe@sj§	       NOM	                    	         f	         s	         4	                            science	                           entendement;entendement	discussion;réflexion;jugement;conception;concevoir;comprendre;apprendre;apprise;révélée;écoute;curiosité	          philosophie;politique;psychologie;morale
              battue	               battu	                baty	       ADJ	                    	         f	         s	         2	              épique;lyrique;dramatique	                      vaincue;terassée;renversée	combat;perte;lutte;vaillante;défaite;perdue;abattue	               animal;guerre;morale;politique;corps
           recherche	           recherche	             R°SERS	       NOM	                    	         f	         s	         2	         science;lyrique;dramatique	  quête;enquête;investigation;exploration;étude	observation;observée;perte;tâtonnement;fouille;inconnue	                   science;philosophie;chasse
                mort	                mort	                 mOR	       ADJ	                    	         m	         s	         1	dramatique;lyrique;épique;mélancolique	                          trépassé;perdu;éteint	condamné;fin;vie;existence;arrêt;fatigué;malade;faible	     psychologie;folie;philosophie;guerre;aventure
            rêveuse	             rêveur	               REv2z	       ADJ	                    	         f	         s	         2	                   mélancolique;lyrique	                        soucieuse;pensive;songeuse	contemplative;songe;triste;tristesse;paradis;imaginaire	                              psychologie;aventure
            rêveuse	             rêveur	               REv2z	       NOM	                    	         f	         s	         2	                   mélancolique;lyrique	                                                  	femme;belle;solitaire;larme;lunaire;lune;imaginaire;nuit	                                 psychologie;folie
